idNum,time,channel,text,id,real_name,medium
62,2020-04-28T13:36:36Z,sam_auinger,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012NUHLL3C-7e35f4c26e/maskenpflicht_480.png?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012NUHLL3C,Sam Auinger,image
63,2020-04-28T13:40:46Z,sam_auinger,seit gestern gibt es in berlin in den öffentlichen verkehrsmitteln maskenpflicht ...spuren rund um den U-Bahnhof Pankstraße heute um 15 uhr,NA,Sam Auinger,text
64,2020-04-28T15:51:16Z,zoe_spehr,:+1:,NA,Sam Auinger,text
65,2020-04-28T16:11:37Z,holger_schulze,"Nach langen Tagen der Schreibtischarbeit, der telephonischen Gespräche oder videophonischen Sitzungen, der elektronischen Nachrichten von vielen Seiten fällt es mir immer schwerer die körperliche Verbindung zum Stadtraum aufrechtzuerhalten. Zu früheren Zeiten hätten nun Spaziergänge, abendliches Ausgehen, Konzerte, Ausstellungseröffnungen, Gespräche mit Kolleginnen oder Kollaborateurinnen und nicht zuletzt Unternehmungen mit der gesamten Familie diese Verbindung wiederhergestellt. Das alles fehlt mir. Ich hörte von Nachtradtouren, die Freunde unternahmen, auch von Distanzspaziergängen. Vielleicht müssen wir mit der gesamten Familie später noch gemeinsam einen kleinen Gang hoch, auf die gemeinschaftliche Dachterrasse dieses Wohnhauses unternehmen. Ein wenig Stadtraum atmen.",NA,Holger Schulze,text
66,2020-04-28T17:47:03Z,max_joy,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012GUA702J-f09ea4eb9f/img_9020_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012GUA702J,MaxJoy sensoricArt,image
67,2020-04-28T17:54:49Z,max_joy,"Heute am 2. Tag der Maskenpflicht in Geschäften und im öffentlichen Nahverkehr, stelle ich fest beim Riesen-Lidl in der Sonnenallee gibt es keine Einschränkungen am Eingang, nur jeder 7. oder 8. Mensch trägt eine Maske...
Auch interessant, daß man es nicht die 3 Meter bis zum Abfalleimer schafft - das führt zu interessanten Collagen und Readymades im öffentlichen Raum ( siehe Foto 'Gummihandschuhe auf Erde an Baum' )
Kenne das sonst nur von den Hundekackeplastiksäckchen...",NA,MaxJoy sensoricArt,text
68,2020-04-28T17:54:49Z,max_joy,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012VS83YS0-5d958f9015/bild_von_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012VS83YS0,MaxJoy sensoricArt,image
69,2020-04-28T17:58:54Z,max_joy,"
Die Geld-Schleuse beim Bäcker-Kollektiv Mehlwurm
",NA,MaxJoy sensoricArt,text
70,2020-04-28T17:58:54Z,max_joy,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F0132A6Q5CZ-7234b13da8/bild_von_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F0132A6Q5CZ,MaxJoy sensoricArt,image
71,2020-04-28T18:07:02Z,dietmar_offenhuber,"<audio controls autoplay src=""media/F012H0GFWUW.mp3"" type=""audio/mpeg""></audio>",F012H0GFWUW,Dietmar Offenhuber,audio
72,2020-04-28T18:08:35Z,max_joy,"
Danke Roberta Peruolla's Laden in der Weserstrasse für dieses schöne Motto - werde mich bemühen täglich daran zu denken!
",NA,MaxJoy sensoricArt,text
73,2020-04-28T18:09:32Z,max_joy,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F01290NR479-d19413ce5c/img_1739_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F01290NR479,MaxJoy sensoricArt,image
74,2020-04-28T18:09:52Z,dietmar_offenhuber,"es gibt etwas sehr wichtiges das mir die stadt cambridge mitteilen will. ein lautsprecherwagen faehrt morgens durch die strassen mit einer relativ langen durchsage in englisch und spanisch. der wagen faehrt aber relativ schnell und die durchsage ist sehr lang. ich hab bis jetzt immer nur ein kurzes stueck der spanischen durchsage gehoert, die ich nicht verstehe. bis der wagen zum englischen text kam, war er schon zuweit weg und wurde von vogelgesang uebertönt",NA,Dietmar Offenhuber,text
75,2020-04-28T20:34:22Z,udo_noll,#Montag: Neulicht und Erdschein,NA,unosonic,text
76,2020-04-28T20:34:22Z,udo_noll,"<audio controls autoplay src=""https://files.slack.com/files-pri/T012DPKCBQV-F012W8457S8/neulichterdschein27042020.mp3?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"" type=""audio/mpeg""></audio>",F012W8457S8,unosonic,audio
77,2020-04-28T21:25:45Z,udo_noll,"Berlin Buch, Skaterpark, wiederbelebt",NA,unosonic,text
78,2020-04-28T21:25:45Z,udo_noll,"<audio controls autoplay src=""https://files.slack.com/files-pri/T012DPKCBQV-F0129DZKD39/berlinbuchskaterparkcomment200419.mp3?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"" type=""audio/mpeg""></audio>",F0129DZKD39,unosonic,audio
79,2020-04-28T21:37:18Z,udo_noll,Helikopter überm Landwehkanal,NA,unosonic,text
80,2020-04-28T21:37:18Z,udo_noll,"<audio controls autoplay src=""https://files.slack.com/files-pri/T012DPKCBQV-F0129EP24A3/berlinbuerkner9backyard200404comment.mp3?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"" type=""audio/mpeg""></audio>",F0129EP24A3,unosonic,audio
81,2020-04-28T21:44:32Z,berlin-local,"Danke für die Einladung!
Wollte auch mal 'Hallo' an Alle sagen hier im berlin-local -channel. Versuche mich gerade hier im Slack zurecht zu finden, Hab mir schon diverse Beiträge von Euch angesehn... scheint alles zu funktionieren und hoffe Ihr könnt meine Beiträge auch sehen !?",NA,MaxJoy sensoricArt,text
82,2020-04-28T21:44:39Z,georg_spehr,"An mehreren Hauptverkehrsstrassen (insbesondere XBerg/FHain) werden Pop-Up-Bikelanes installiert und eigentlich wird auch nur das Mobilitätsgesetz umgesetzt. Aber die momentane Situation schafft offensichtlich kreative Energie in der Verkehrsverwaltung. Hier im Bild an der Kottbusser Str. Richtung Kottbusser Tor, vor dem Lockdown eine stark befahrende Straße. Eine Fahrspur wird zur Parkspur, die Parkspur zum Fahrradweg, der ehemalige Fahrrad auf dem Gehweg schafft mehr Platz für Fußgänger. Hoffen wir, dass aus dem Provisorium eine dauerhafte Einrichtung wird, aber ProAuto-Institutionen beschweren sich bereits lautstark.",NA,Georg Spehr,text
83,2020-04-28T21:44:39Z,georg_spehr,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012NRGLLQ5-a06b7286d9/popupbikelane_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012NRGLLQ5,Georg Spehr,image
84,2020-04-28T21:47:22Z,udo_noll,"U8 Schönleinstr., Leere",NA,unosonic,text
85,2020-04-28T21:47:22Z,udo_noll,"<audio controls autoplay src=""https://files.slack.com/files-pri/T012DPKCBQV-F0129F5K0DV/berlinu8schoenleinstr200405comment.mp3?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"" type=""audio/mpeg""></audio>",F0129F5K0DV,unosonic,audio
86,2020-04-28T21:55:48Z,udo_noll,Tempelhofer Feld. Sie sollen weggehen.,NA,unosonic,text
87,2020-04-28T21:55:48Z,udo_noll,"<audio controls autoplay src=""https://files.slack.com/files-pri/T012DPKCBQV-F012Q7QSY74/berlintempelhofpappeln03042020comment.mp3?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"" type=""audio/mpeg""></audio>",F012Q7QSY74,unosonic,audio
88,2020-04-28T22:12:08Z,katrin_emler,"das Läuten der Türklingel steht bei uns zur Zeit immer im Zusammenhang mit der Lieferung einer Bestellung oder einer Postsendung, die nicht in den Briefkasten passt.  Vor 3 Wochen etwa wurden wir von unserer Briefträgerin mit einer handgeschriebenen Notiz im Briefkasten um die Benützung der Gegensprechanlage nach erfolgtem Klingeln gebeten. Wir benützten sie bisher selten bis nie, weil mit ihr kein verständlicher Austausch von Informationen möglich war. - keine Lieferung mehr an die Wohnungstür - Das neu Erlernte wurde heut gleich 2x abgerufen: Klingel - Gegensprechanlage “Ich komme runter”, “brnbd…fhrgi…lift?“, “ja wir haben einen Lift, ich komme runter” - Treppe_Treppe_Treppe_Treppe_Treppe_Treppe_Treppe_Treppe (4 Stock runter) - unten nichts - Barfuß vor die Haustür und Ferndialog mit UPS “Hallo guten Tag, Sie sagten, dass sie ein Packerl für mich haben?“, “Ja, ich habe es mit dem Lift zu Ihnen in den 4. Stock geschickt”, Oh ….. - diese Zustellvariante kannte ich noch nicht. Eine Stunde später klingelte es wieder, der Blick aus dem Fenster zeigte ein DHL-Auto, da wissen wir bereits, dass wir uns schnell auf den Weg nach unten machen können…",NA,katrinem,text
89,2020-04-28T23:14:16Z,berlin-local,"Hallo Max, danke fuers mitmachen und fuer die schoenen beiträge! hab ich heute schon mit grosser freude gesehen. ich gewöhne mich auch langsam an die umgebung, es funktioniert eigentlich ganz gut",NA,Dietmar Offenhuber,text
90,2020-04-29T05:39:47Z,martina_huber,"live workouts/ morning mobility ab 7.30 in meinem instagram feed.
meistens von 7.30 - 10.00 erscheinen die morgen live-workouts, am Abend geht es dann nochmal richtig rund. hauptzeit der live-sessions ist meistens 17.00-20.00. manchmal sind in meinem insta feed sogar sechs oder sieben instagram live sessions gleichzeitig (meistens sport, kochen, oder q&as).",NA,Martina Huber,text
91,2020-04-29T05:39:47Z,martina_huber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F013EH0GUGY-c56088dd1b/img_5666_480.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F013EH0GUGY,Martina Huber,image
92,2020-04-29T06:46:54Z,susanne_jaschko,Stadtmusik2: Balkon,NA,Susanne Jaschko,text
93,2020-04-29T06:46:54Z,susanne_jaschko,"<audio controls autoplay src=""media/F013EK54V3J.mp3"" type=""audio/mpeg""></audio>",F013EK54V3J,Susanne Jaschko,audio
94,2020-04-29T07:00:00Z,holger_schulze,"Letzte Nacht träumte ich von einem sturzbachartigen Regen – den es dann ja auch tatsächlich gab. Im Nachbarhaus verbarrikadierten sie ihre Fenster auf allen Etagen mit Holzpaneelen, die sie bunt angemalt hatten, mit Motiven und Abwehrsprüchen gegen das herrschende Virus. Ich erwachte so zerschlagen und kaputt als hätte ich gestern Abend durchgesoffen.",NA,Holger Schulze,text
95,2020-04-29T07:14:03Z,susanne_jaschko,"Kleines Balkongedicht
 
Du hast das Licht,
doch die Stille nicht.
 
Mein Blick war lange frei auf dir,
nun schließ ich die Augen.
 
Es hämmert.
Es dröhnt.
Es schleift.
Es sägt.
Es summt.
Es knallt.
 
Ein freier Blick wird nun gebaut
auf dem Dach gegenüber.
 
Keiner hat gefragt.
Keiner sich entschuldigt.
Keiner dran gedacht.
 
An mich und dich.
Und diese Zeiten.",NA,Susanne Jaschko,text
96,2020-04-29T12:34:32Z,maren_hartmann,"Dienstag: das Eichhörnchen - letzte Woche drei Mal gesichtet (pro Kind 1 Mal :slightly_smiling_face:) - ist nicht zu sehen. Als ob es einmal Mut machen wollte, nicht aber zu sehr 'eingefordert' werden möchte.",NA,Maren Hartmann,text
