time,channel,real_name,text
2020-04-26T19:28:36Z,berlin-local,Sam Auinger,"wir alle erleben wie die stadt wieder langsam hoch fährt.  
die letzten wochen haben uns stark sensibilisiert.  
*stadtmusik unter der lokalen linse* ist von der idee getragen, diese neue sensibilität zu nützen und im gruppendialog den übergang vom schock zu einer anderen /neuen realität zu dokumentieren, zu erforschen und individuell, persönlich zu kommentieren.

wir werden immer wieder wünsche an die ganze (künstlerische forschungs) -gruppe herantragen:
ein erster wunsch ist ein kurzes statement dazu, wie wir persönlich diese vergangenen 6 wochen erlebt haben, was waren zum beispiel für mich die drei merkbarsten veränderungen/erlebnisse?"
2020-04-26T19:34:08Z,linh_hoang_thuy,Sam Auinger,"hi linh,..freu mich dass du mitmachst"
2020-04-26T19:40:24Z,berlin-local,Dietmar Offenhuber,ein kurzes wort zu den channels - wir arbeiten gerade daran slack so zu konfigurieren dass jeder die beitraege in allen channels sehen kann. ihr habt einen channel mit eurem namen fuer eure beobachtungen. ich bin dabei alles auch so zu konfigurieren dass ihr auch die inhalte der channels der anderen teilnehmer sehen koennt. der <#C0128D5JYLE|berlin-local> channel ist fuer diskussionen in der ganzen gruppe gedacht. wir sind auch noch dabei das alles so einzurichten dass wir alle gut arbeiten koennen - es ist ein work in progress.
2020-04-26T19:55:21Z,berlin-local,Dietmar Offenhuber,sorry about all the notifications! but now everyone should be added to all channels
2020-04-26T20:33:29Z,berlin-local,Maria Kyrou,Grüße vom Neukölln! :herb:
2020-04-26T21:27:20Z,sam_auinger,Ingrid Beirer,"Lieber Sam,"
2020-04-26T21:27:45Z,sam_auinger,Ingrid Beirer,freue mich….
2020-04-26T21:35:50Z,berlin-local,Thomas Meier,Hallo Ich erlebe die Stadt Berlin wie 1985. Da ich in der Einflugschneise von Tegel wohne ist es eine erholsame Ruhe.
2020-04-27T07:40:01Z,maren_hartmann,Maren Hartmann,"Heute morgen im Park war der Hauch des Montags zu spüren. Viele Leute beim Sport, Geschäftigkeit überall. Der Schläfer auf der Wiese war nirgends zu sehen. Bei den Vögeln allerdings ist um die Zeit immer Montag Morgen."
2020-04-27T11:29:46Z,berlin-local,Georg Spehr,Tach auch.
2020-04-27T13:23:34Z,berlin-local,Holger Schulze,Grüße aus dem Friedrichshain &amp; Danke fürs Einrichten &amp; Einladen! :heart:
2020-04-27T14:30:29Z,katrin_emler,katrinem,"Auf meiner derzeit bevorzugten Laufrunde begegne ich diesem Spielgerät, das auch ohne Zaumzeug aus Absperrbändern, immer schon etwas verloren wirkte… Die Gartentür zu den Grünflächen zwischen den Wohnblocks ist abgesperrt, aber es sind so wenige Menschen und Autos unterwegs, dass ich entspannt zwischen Straße und Gehweg wechseln kann - wie es gerade notwendig ist."
2020-04-27T14:30:29Z,katrin_emler,katrinem,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F0125LA59NK-5951612980/playground_1_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-27T15:36:23Z,berlin-local,Wolfgang Galler,Hallo in die Runde und danke fürs Einladen! Ich kuck mich erstmal ein wenig um.....
2020-04-27T15:37:53Z,berlin-local,Dietmar Offenhuber,"hallo wolfgang, willkommen! ich muss deinen kanal noch public machen, kann ich leider nicht am telefon, spaeter heute!"
2020-04-27T15:54:10Z,berlin-local,Wolfgang Galler,danke dir...muss ich was tun?
2020-04-27T16:18:48Z,susanne_jaschko,Susanne Jaschko,Stadtmusik1: Nachbarn
2020-04-27T16:18:48Z,susanne_jaschko,Susanne Jaschko,"<audio src=""https://azmar.org/qr/media/F012LMX883C.mp3"" type=""audio/mpeg"" controls></audio>"
2020-04-27T16:19:43Z,susanne_jaschko,Susanne Jaschko,Stadtmusik1: Nachbarn
2020-04-27T16:19:43Z,susanne_jaschko,Susanne Jaschko,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012E0CCT7G-63f024f2b4/stadtmusik1_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-27T16:27:15Z,berlin-local,Dietmar Offenhuber,"nein, alles ok. du kannst in deinem channel (fuer die anderen sichtbar) posten"
2020-04-27T16:42:32Z,berlin-local,Wolfgang Galler,"danke dir, lieber diestmar! ...dann erstmal schönen abend bzw. angenehmen lunch break!"
2020-04-27T16:47:37Z,berlin-local,Wolfgang Galler,"dietmar, sorry..."
2020-04-27T17:56:57Z,hannes_strobl,hannes strobl,"letzte woche erste zugfahrt seit dem lockdown. berlin-erlangen: wagon mit 3 anderen fahrgästen geteilt.dann bauprobe am theater, alle mit maske, stimmung war sehr gut, die leute haben lust wieder zu arbeiten. rückfahrt erlangen-berlin: bin die gesamte fahrt alleine im wagon gesessen. da musste ich nicht mal meinen noise cancelling kopfhörer benutzen und konnte dem sound des ice zuhören...."
2020-04-27T17:56:57Z,hannes_strobl,hannes strobl,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012ZJE9Y2D-da5eb4f778/img_4261_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-27T19:01:24Z,martina_huber,Martina Huber,"morgendliche Routinen um den Kreislauf in Schwung zu bringen: entweder eine runde um den block spazieren, 5 mal das Treppenhaus hoch und runter gehen oder ein kleines wake-up home workout ersetzen mir nun meine Arbeitswegbewegung"
2020-04-27T19:14:37Z,georg_spehr,Georg Spehr,Selbsthilfespielplatz für 1 bis 2 Kinder. (die öffentlichen Spielplätze sind immer noch geschlossen)
2020-04-27T19:14:37Z,georg_spehr,Georg Spehr,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012TATDJP6-2ba7c44c35/spielplatz_detail_480.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-27T19:14:37Z,georg_spehr,Georg Spehr,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012MC2DB1R-305903ffa4/spielplatz_full_480.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-27T20:18:03Z,holger_schulze,Holger Schulze,"Heute beginnt die siebte Woche der Kontakteinschränkung, Tag Nummer 43. Ich höre die zunehmenden Geräusche der wärmer werdenden Tage. Mittags aßen wir draussen auf der Terrasse. Das Leben ohne Reisen, stets häuslich und ohne körperliche Tätigkeiten und Aktivitäten an anderen Orten - abgesehen von vorübergehenden Spaziergängen - ist schon fast ganz zur Gewohnheit geworden."
2020-04-27T21:05:49Z,linh_hoang_thuy,Linh Hoang Thuy,"Die sechste Woche im Home-Office hat heute angefangen. Es war einer der längeren Arbeitstage. Für einen kleinen Einkauf habe ich es doch kurz aus den vier Wänden geschafft. In LIDL fällt mir auf, dass ich heute mehr Leute mit Masken sehe - seit heute gilt ja auch die Maskenpflicht. Und obwohl Berlin weniger strenge Auflagen hat, scheinen die Leute es ernst zu nehmen."
2020-04-27T21:21:31Z,dietmar_offenhuber,Dietmar Offenhuber,"Ich bin hier in der runde einer der einzigen der aus der distanz mitmacht, aus boston, massachusetts. als kontext, massachusetts ist einer der wenigen (der einzige?) staaten an der ostküste, die keine ausgangssperre verhaengt haben, nur eine empfehlung zum “sheltering in place”. es gibt keine polizisten, die passanten bestrafen; viele geschäfte wurden allerdings, wie ueberall sonst, geschlossen. darueberhinaus gibt es verschiedene “soft measures”: die strände werden nicht geschlossen, allerdings wurden die parkplätze gesperrt. mit azra, meiner partnerin, bin ich 3x pro woche an den strand gefahren, da man dort spazieren kann ohne jemandem naeher als 20 meter zu kommen. dabei fiel mir ein interessante akustische intervention der stadt auf: der lautsprecher wagen, der üblicherweise “streetcleaning” ankündigt, rief die anwesenden dazu auf nach hause zu gehen. ich konnte leider keine aufnahme davon machen."
2020-04-27T21:21:31Z,dietmar_offenhuber,Dietmar Offenhuber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012EN135ML-aefaf8cc68/img_2280_1024.png?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-27T21:21:31Z,dietmar_offenhuber,Dietmar Offenhuber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012L30K9UM-84cb2b696a/img_2299_1024.png?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-27T21:27:59Z,dietmar_offenhuber,Dietmar Offenhuber,"massachusetts ist soetwas wie die schweiz amerikas, es herrscht also trotz dieses zwangsverzichts weitgehend disziplin. das ist auch in sozialer interaktion zu merken - man ist freundlich und hilfsbereit, aber blickt sich misstrauisch an wenn die unsichtbare 2-meter blase verletzt wird. die subjektive interpretation von 2 metern reicht dabei, je nach person, von 1 bis ca. 6 meter. mir faellt auch bei mir selbst auf, wie aerger in mir hochsteigt, wenn ich wieder von einem keuchendem und schwitzenden jogger in knapper distanz ueberholt werde. jogger machen die vorwiegende anzahl an personen im oeffentlichen raum aus - es scheint, dass die ganze stadt vor drei wochen beschlossen hat mit dem laufen zu beginnen."
2020-04-27T21:31:07Z,max_joy,MaxJoy sensoricArt,"Heute am Karl Marx Platz Berlin Neukölln entdeckt.
"
2020-04-27T21:31:07Z,max_joy,MaxJoy sensoricArt,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F0126NKU3U7-90f61f1a89/bild_von_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-27T21:31:18Z,max_joy,MaxJoy sensoricArt,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F013BA1HVQQ-3a005eb749/bild_von_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-27T21:31:29Z,max_joy,MaxJoy sensoricArt,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012MEU9C9G-a086d5eed6/bild_von_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-27T21:32:33Z,berlin-local,Dietmar Offenhuber,super freut mich dass alles klappt!
2020-04-27T21:38:37Z,sam_auinger,Sam Auinger,"<video width=""100%"" controls><source src=""https://azmar.org/qr/media/F012L3ZU5RB.mp4"" type=""video/mp4""></video>"
2020-04-27T21:38:45Z,sam_auinger,Sam Auinger,"die letzten Wochen waren für mich klanglich von einem unglaublichen und endloses Demaskierungsspiel geprägt, zum Beispiel jede unterirdische Wasserbewegung kriecht wieder hörbar aus Gullydeckeln (Kanaldeckel) ..auch heute noch beim frühen Abendspaziergang in Pankow so erlebt, obwohl der Verkehr wieder richtig Fahrt aufgenommen hat. Aber in dieser Gegend ist sonst der omnipräsente Fluglärm Hörraum bestimmend."
2020-04-27T21:40:59Z,sam_auinger,Sam Auinger,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012TL6FDL4-e0d3aff415/wisbyer_stau_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-27T22:19:26Z,ingrid_beirer,Ingrid Beirer,"Montag, 27. April,
1.   Tag Maskenpflicht in Bahn und Bussen, in Geschäften empfohlen:
„Masken selber nähen – ganz einfach!”
Schlangen vor Stoff-Geschäften, Gummilitzen sind ausverkauft, im Fachgeschäft, im Kaufhaus - nichts.
Tipp: Spezielle Haargummis: dm, Rossmann - nichts!
Super Angebot für eine Singer-Nähmaschine bei LIDL: ausverkauft bereits nach 3 Stunden (auch online).
Zum Glück reicht auch ein Schal oder ein Tuch!"
2020-04-28T10:47:41Z,berlin-local,Ursula Rogg,Hallo zusammen! Wir sind also die Berlin-Locals... hier in Pankow tönen am schönsten die Nichtfliegender
2020-04-28T13:36:36Z,sam_auinger,Sam Auinger,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012NUHLL3C-7e35f4c26e/maskenpflicht_480.png?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-28T13:40:46Z,sam_auinger,Sam Auinger,seit gestern gibt es in berlin in den öffentlichen verkehrsmitteln maskenpflicht ...spuren rund um den U-Bahnhof Pankstraße heute um 15 uhr
2020-04-28T16:11:37Z,holger_schulze,Holger Schulze,"Nach langen Tagen der Schreibtischarbeit, der telephonischen Gespräche oder videophonischen Sitzungen, der elektronischen Nachrichten von vielen Seiten fällt es mir immer schwerer die körperliche Verbindung zum Stadtraum aufrechtzuerhalten. Zu früheren Zeiten hätten nun Spaziergänge, abendliches Ausgehen, Konzerte, Ausstellungseröffnungen, Gespräche mit Kolleginnen oder Kollaborateurinnen und nicht zuletzt Unternehmungen mit der gesamten Familie diese Verbindung wiederhergestellt. Das alles fehlt mir. Ich hörte von Nachtradtouren, die Freunde unternahmen, auch von Distanzspaziergängen. Vielleicht müssen wir mit der gesamten Familie später noch gemeinsam einen kleinen Gang hoch, auf die gemeinschaftliche Dachterrasse dieses Wohnhauses unternehmen. Ein wenig Stadtraum atmen."
2020-04-28T17:47:03Z,max_joy,MaxJoy sensoricArt,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012GUA702J-f09ea4eb9f/img_9020_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-28T17:54:49Z,max_joy,MaxJoy sensoricArt,"Heute am 2. Tag der Maskenpflicht in Geschäften und im öffentlichen Nahverkehr, stelle ich fest beim Riesen-Lidl in der Sonnenallee gibt es keine Einschränkungen am Eingang, nur jeder 7. oder 8. Mensch trägt eine Maske...
Auch interessant, daß man es nicht die 3 Meter bis zum Abfalleimer schafft - das führt zu interessanten Collagen und Readymades im öffentlichen Raum ( siehe Foto 'Gummihandschuhe auf Erde an Baum' )
Kenne das sonst nur von den Hundekackeplastiksäckchen..."
2020-04-28T17:54:49Z,max_joy,MaxJoy sensoricArt,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012VS83YS0-5d958f9015/bild_von_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-28T17:58:54Z,max_joy,MaxJoy sensoricArt,"
Die Geld-Schleuse beim Bäcker-Kollektiv Mehlwurm
"
2020-04-28T17:58:54Z,max_joy,MaxJoy sensoricArt,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F0132A6Q5CZ-7234b13da8/bild_von_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-28T18:07:02Z,dietmar_offenhuber,Dietmar Offenhuber,"<audio src=""https://azmar.org/qr/media/F012H0GFWUW.mp3"" type=""audio/mpeg"" controls></audio>"
2020-04-28T18:08:35Z,max_joy,MaxJoy sensoricArt,"
Danke Roberta Peruolla's Laden in der Weserstrasse für dieses schöne Motto - werde mich bemühen täglich daran zu denken!
"
2020-04-28T18:09:32Z,max_joy,MaxJoy sensoricArt,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F01290NR479-d19413ce5c/img_1739_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-28T18:09:52Z,dietmar_offenhuber,Dietmar Offenhuber,"es gibt etwas sehr wichtiges das mir die stadt cambridge mitteilen will. ein lautsprecherwagen faehrt morgens durch die strassen mit einer relativ langen durchsage in englisch und spanisch. der wagen faehrt aber relativ schnell und die durchsage ist sehr lang. ich hab bis jetzt immer nur ein kurzes stueck der spanischen durchsage gehoert, die ich nicht verstehe. bis der wagen zum englischen text kam, war er schon zuweit weg und wurde von vogelgesang uebertönt"
2020-04-28T20:34:22Z,udo_noll,unosonic,#Montag: Neulicht und Erdschein
2020-04-28T20:34:22Z,udo_noll,unosonic,"<audio src=""https://files.slack.com/files-pri/T012DPKCBQV-F012W8457S8/neulichterdschein27042020.mp3?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"" type=""audio/mpeg"" controls></audio>"
2020-04-28T21:25:45Z,udo_noll,unosonic,"Berlin Buch, Skaterpark, wiederbelebt"
2020-04-28T21:25:45Z,udo_noll,unosonic,"<audio src=""https://files.slack.com/files-pri/T012DPKCBQV-F0129DZKD39/berlinbuchskaterparkcomment200419.mp3?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"" type=""audio/mpeg"" controls></audio>"
2020-04-28T21:37:18Z,udo_noll,unosonic,Helikopter überm Landwehkanal
2020-04-28T21:37:18Z,udo_noll,unosonic,"<audio src=""https://files.slack.com/files-pri/T012DPKCBQV-F0129EP24A3/berlinbuerkner9backyard200404comment.mp3?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"" type=""audio/mpeg"" controls></audio>"
2020-04-28T21:44:32Z,berlin-local,MaxJoy sensoricArt,"Danke für die Einladung!
Wollte auch mal 'Hallo' an Alle sagen hier im berlin-local -channel. Versuche mich gerade hier im Slack zurecht zu finden, Hab mir schon diverse Beiträge von Euch angesehn... scheint alles zu funktionieren und hoffe Ihr könnt meine Beiträge auch sehen !?"
2020-04-28T21:44:39Z,georg_spehr,Georg Spehr,"An mehreren Hauptverkehrsstrassen (insbesondere XBerg/FHain) werden Pop-Up-Bikelanes installiert und eigentlich wird auch nur das Mobilitätsgesetz umgesetzt. Aber die momentane Situation schafft offensichtlich kreative Energie in der Verkehrsverwaltung. Hier im Bild an der Kottbusser Str. Richtung Kottbusser Tor, vor dem Lockdown eine stark befahrende Straße. Eine Fahrspur wird zur Parkspur, die Parkspur zum Fahrradweg, der ehemalige Fahrrad auf dem Gehweg schafft mehr Platz für Fußgänger. Hoffen wir, dass aus dem Provisorium eine dauerhafte Einrichtung wird, aber ProAuto-Institutionen beschweren sich bereits lautstark."
2020-04-28T21:44:39Z,georg_spehr,Georg Spehr,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012NRGLLQ5-a06b7286d9/popupbikelane_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-28T21:47:22Z,udo_noll,unosonic,"U8 Schönleinstr., Leere"
2020-04-28T21:47:22Z,udo_noll,unosonic,"<audio src=""https://files.slack.com/files-pri/T012DPKCBQV-F0129F5K0DV/berlinu8schoenleinstr200405comment.mp3?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"" type=""audio/mpeg"" controls></audio>"
2020-04-28T21:55:48Z,udo_noll,unosonic,Tempelhofer Feld. Sie sollen weggehen.
2020-04-28T21:55:48Z,udo_noll,unosonic,"<audio src=""https://files.slack.com/files-pri/T012DPKCBQV-F012Q7QSY74/berlintempelhofpappeln03042020comment.mp3?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"" type=""audio/mpeg"" controls></audio>"
2020-04-28T22:12:08Z,katrin_emler,katrinem,"das Läuten der Türklingel steht bei uns zur Zeit immer im Zusammenhang mit der Lieferung einer Bestellung oder einer Postsendung, die nicht in den Briefkasten passt.  Vor 3 Wochen etwa wurden wir von unserer Briefträgerin mit einer handgeschriebenen Notiz im Briefkasten um die Benützung der Gegensprechanlage nach erfolgtem Klingeln gebeten. Wir benützten sie bisher selten bis nie, weil mit ihr kein verständlicher Austausch von Informationen möglich war. - keine Lieferung mehr an die Wohnungstür - Das neu Erlernte wurde heut gleich 2x abgerufen: Klingel - Gegensprechanlage “Ich komme runter”, “brnbd…fhrgi…lift?“, “ja wir haben einen Lift, ich komme runter” - Treppe_Treppe_Treppe_Treppe_Treppe_Treppe_Treppe_Treppe (4 Stock runter) - unten nichts - Barfuß vor die Haustür und Ferndialog mit UPS “Hallo guten Tag, Sie sagten, dass sie ein Packerl für mich haben?“, “Ja, ich habe es mit dem Lift zu Ihnen in den 4. Stock geschickt”, Oh ….. - diese Zustellvariante kannte ich noch nicht. Eine Stunde später klingelte es wieder, der Blick aus dem Fenster zeigte ein DHL-Auto, da wissen wir bereits, dass wir uns schnell auf den Weg nach unten machen können…"
2020-04-28T23:14:16Z,berlin-local,Dietmar Offenhuber,"Hallo Max, danke fuers mitmachen und fuer die schoenen beiträge! hab ich heute schon mit grosser freude gesehen. ich gewöhne mich auch langsam an die umgebung, es funktioniert eigentlich ganz gut"
2020-04-29T05:39:47Z,martina_huber,Martina Huber,"live workouts/ morning mobility ab 7.30 in meinem instagram feed.
meistens von 7.30 - 10.00 erscheinen die morgen live-workouts, am Abend geht es dann nochmal richtig rund. hauptzeit der live-sessions ist meistens 17.00-20.00. manchmal sind in meinem insta feed sogar sechs oder sieben instagram live sessions gleichzeitig (meistens sport, kochen, oder q&as)."
2020-04-29T05:39:47Z,martina_huber,Martina Huber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F013EH0GUGY-c56088dd1b/img_5666_480.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-29T06:46:54Z,susanne_jaschko,Susanne Jaschko,Stadtmusik2: Balkon
2020-04-29T06:46:54Z,susanne_jaschko,Susanne Jaschko,"<audio src=""https://azmar.org/qr/media/F013EK54V3J.mp3"" type=""audio/mpeg"" controls></audio>"
2020-04-29T07:00:00Z,holger_schulze,Holger Schulze,"Letzte Nacht träumte ich von einem sturzbachartigen Regen – den es dann ja auch tatsächlich gab. Im Nachbarhaus verbarrikadierten sie ihre Fenster auf allen Etagen mit Holzpaneelen, die sie bunt angemalt hatten, mit Motiven und Abwehrsprüchen gegen das herrschende Virus. Ich erwachte so zerschlagen und kaputt als hätte ich gestern Abend durchgesoffen."
2020-04-29T07:14:03Z,susanne_jaschko,Susanne Jaschko,"Kleines Balkongedicht
 
Du hast das Licht,
doch die Stille nicht.
 
Mein Blick war lange frei auf dir,
nun schließ ich die Augen.
 
Es hämmert.
Es dröhnt.
Es schleift.
Es sägt.
Es summt.
Es knallt.
 
Ein freier Blick wird nun gebaut
auf dem Dach gegenüber.
 
Keiner hat gefragt.
Keiner sich entschuldigt.
Keiner dran gedacht.
 
An mich und dich.
Und diese Zeiten."
2020-04-29T12:34:32Z,maren_hartmann,Maren Hartmann,"Dienstag: das Eichhörnchen - letzte Woche drei Mal gesichtet (pro Kind 1 Mal :slightly_smiling_face:) - ist nicht zu sehen. Als ob es einmal Mut machen wollte, nicht aber zu sehr 'eingefordert' werden möchte."
2020-04-29T12:40:05Z,maren_hartmann,Maren Hartmann,"Und heute hörte ich - am Vormittag - in der Straßmannstraße jemanden Trompete spielen - für alle weithin hörbar. Es gab sogar ein wenig Applaus am Ende. Das Unerwartete daran (und das leicht sentimentale in der Melodie) sorgte dafür, dass es unglaublich berührend war. Nur eine Person rief laut (und grinsend) 'Ruhe!'."
2020-04-29T16:12:05Z,linh_hoang_thuy,Linh Hoang Thuy,Heute schien in Friedrichshain nach einem kurzen Regenschauer die Sonne sofort wieder. Typisches Aprilwetter würde man sagen. Aber zu jener Zeit ist ja nichts mehr typisch und man freut sich über jede Art von Normalität.
2020-04-29T16:12:44Z,linh_hoang_thuy,Linh Hoang Thuy,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F0134KCNE1F-a693ba08e8/img_20200429_172741_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-29T16:16:00Z,linh_hoang_thuy,Linh Hoang Thuy,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012S7GS56F-a0cd316a1d/img_20200429_174448_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-29T19:31:55Z,martina_huber,Martina Huber,"habe heute kurz <@U012K4YCXDH> besucht.. das erste mal, dass ich wieder in die Wohnung reingegangen bin, aber mit großem abstand. fühlt sich aber immer noch seltsam an. die selbstverständlichkeit, sich bei der begrüßung zu umarmen ist definitiv nicht mehr gegeben. viel mehr hab ich bei jedem treffen (auch wenn das wenige sind) immer erstmal den ""distanz-gedanken"" im kopf."
2020-04-29T20:35:47Z,max_joy,MaxJoy sensoricArt,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012KVC8PM4-1656baf8a8/bild_von_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
